"(PDH-CSV 4.0) (","\\LIVING1\Processor(_Total)\% User Time","\\LIVING1\Processor(_Total)\% Privileged Time","\\LIVING1\Processor(_Total)\% Interrupt Time","\\LIVING1\Processor(_Total)\% Idle Time","\\LIVING1\System\Processor Queue Length","\\LIVING1\System\Processes","\\LIVING1\System\Threads","\\LIVING1\Memory\Available Bytes","\\LIVING1\Memory\Committed Bytes","\\LIVING1\Memory\Page Faults/sec","\\LIVING1\Memory\Pages/sec"
"05/11/2015 00:00:35.592"," "," "," "," ","0","80","875","2136272896","1687744512"," "," "
"05/11/2015 00:00:40.677","0.23006290888662495","0.99693665006491861","0.076686980851260883","98.773464495599256","0","78","872","2140962816","1681784832","1930.3827510816313","0.19663672721621997"
"05/11/2015 00:00:45.716","0.46439745838341795","0.92879690136287774","0","98.607272020323535","0","78","874","2140581888","1681768448","1625.9940261933018","0.19846137265876992"
"05/11/2015 00:00:50.771","0.38580376827050933","0.69444915705177712","0.07716233643067541","98.920212015296187","0","78","868","2140962816","1681829888","1104.2284333898065","0"
"05/11/2015 00:00:55.809","0.54179867785817393","0.54179669326217161","0","98.916869024344223","0","78","867","2139828224","1684000768","1004.8101951885161","50.806124820908579"
"05/11/2015 00:01:00.864","0.77160953027780421","0.69444917079125057","0","98.534410196500133","0","76","856","2143248384","1680240640","1411.8734421300812","0.19785222002943964"
"05/11/2015 00:01:05.903","0.3095989609766705","1.0061961270251785","0.077399244095167019","98.684669307462727","0","76","856","2144120832","1679306752","1403.1367300475442","0"
"05/11/2015 00:01:10.942","0.46439745838341795","0.92879690136287774","0","98.607270035727495","0","74","841","2146234368","1676550144","2142.9970817595345","0.1984624080162562"
"05/11/2015 00:01:15.980","1.160996599811515","1.0061961270251785","0","97.833271668627873","0","76","850","2145218560","1677340672","5092.2103393384796","0.19846481952367603"
"05/11/2015 00:01:21.019","0.46439745838341795","1.1609966228526076","0","98.3750722988338","0","76","849","2145841152","1676836864","1018.3144485772013","0"
"05/11/2015 00:01:26.058","0.69659915064451039","0.46439744916700454","0","98.839467795653064","0","76","845","2146172928","1677807616","905.98280710218728","0.19846282740464125"
"05/11/2015 00:01:31.112","1.3117339992021619","1.0030925673623281","0.077160357959958487","97.6856403525247","0","74","844","2149535744","1675268096","1362.9904841255834","0.59355079871922634"
"05/11/2015 00:01:36.136","0.38820006845027027","1.2422418116483631","0.07763961553817951","98.370023957594597","0","74","845","2149175296","1673207808","1952.7956202406774","0"
"05/11/2015 00:01:41.159","0.62112090582418156","0.62112090582418156","0.077641606297552276","98.758224026044857","0","74","839","2149634048","1672441856","1238.0773585648076","0"
"05/11/2015 00:01:46.198","0.54179867785817393","0.851395654238842","0.077399244095167019","98.607268078771554","0","74","843","2149142528","1672368128","1587.3137648485233","0.19846383656520672"
"05/11/2015 00:01:51.236","2.3993924913364442","1.0835973772213781","0","96.517478496108041","0","74","843","2149425152","1672974336","876.60614067069241","0"
"05/11/2015 00:01:56.260","0.46583968398844977","0.46583968398844977","0","99.068784478956957","0","74","840","2148372480","1673805824","963.14756226370105","0.19907969455636648"
"05/11/2015 00:02:01.298","0.77399839473967746","0.9287968829300115","0.15479848819033404","98.297669117794882","0","74","839","2147139584","1675718656","919.88528895290449","0"
"05/11/2015 00:02:06.322","0.85403975243871999","0.85404174319809278","0","98.292384342056422","0","74","841","2148282368","1675051008","1844.8678632004746","7.3659340604745402"
"05/11/2015 00:02:11.360","0.54179867785817393","0.54179867785817393","0","98.916867039748226","0","74","838","2149036032","1674133504","1227.6984280296001","0"
"05/11/2015 00:02:16.384","0.46584167474782257","0.93168135873627234","0","98.602944794968508","0","74","841","2149281792","1674457088","1595.0285202969569","0.19907994511944047"
"05/11/2015 00:02:21.438","0.30864341031055081","1.0802509468515695","0.07716233643067541","98.611568604985649","0","74","839","2148757504","1673969664","833.34126164297402","0"
"05/11/2015 00:02:26.492","0.3858037759035241","0.77160953027780421","0","98.843055591387866","0","74","839","2148655104","1673142272","876.48920081444851","0"
"05/11/2015 00:02:31.531","0.69659716604850808","1.0061961270251785","0","98.297669117794882","0","74","839","2148802560","1673998336","1064.5514427021994","0.19846223764023105"
"05/11/2015 00:02:36.570","0.15480047585850054","1.238395868483837","0.077399245631229352","98.607272020323535","0","74","837","2149126144","1675898880","1786.3774757011249","0"
"05/11/2015 00:02:41.609","0.38699820507183746","0.77399839473967746","0","98.839467795653064","0","74","836","2149666816","1674870784","1397.5763380865794","0.19846298467574261"
"05/11/2015 00:02:46.663","5.478421027629957","4.1666850499570778","0.077160357959958487","90.355358863031441","0","74","842","2146402304","1676869632","34051.731279426283","1.3849727432860213"
"05/11/2015 00:02:51.749","3.9110596963128645","3.5276247845169535","0","92.561779573730092","0","74","844","2148999168","1674567680","19404.987504342858","0.19663563362560532"
"05/11/2015 00:02:56.788","0.54179868861068903","0.77399642550437708","0.077399245631229352","98.684671265954762","0","74","841","2149261312","1674801152","859.93772750983021","0"
"05/11/2015 00:03:01.827","1.160996599811515","0.85139763883484454","0.15480047278633646","97.988072141414222","0","72","825","2152472576","1670479872","1041.92970626228","4.5646444274347502"
"05/11/2015 00:03:06.865","0.46439745838341795","0.69659717987314784","0","98.83946975721723","0","72","826","2151911424","1669812224","1672.0513083984333","0.19846306331138674"
"05/11/2015 00:03:11.904","0.619197921953341","0.85139763883484454","0","98.529868834676378","0","72","825","2150375424","1673138176","1423.1761834589634","0"
"05/11/2015 00:03:16.943","0.85139765573164827","0.54179868861068903","0.077399245631229352","98.607272020323535","0","72","827","2149601280","1672925184","1372.1939176853882","0.19846599908669196"
"05/11/2015 00:03:21.982","2.2445919709318605","0.9287968829300115","0.077399244095167019","96.827073557006699","0","72","829","2147409920","1673146368","2697.7183959794288","0"
"05/11/2015 00:03:27.021","0.46439944297945979","0.46439745838341795","0","99.071669478706951","0","72","825","2149281792","1673379840","937.14648380800622","0"
"05/11/2015 00:03:32.044","1.0093209541813004","1.0093209541813004","0","97.981821938562021","0","72","827","2150412288","1672519680","916.1622054201091","0.19907914068233573"
"05/11/2015 00:03:37.083","0.54179868861068903","0.77399841010041892","0","98.684671265954762","0","72","827","2151051264","1671716864","1867.7388489895136","0"
"05/11/2015 00:03:42.137","0.30864341031055081","0.92593023093165261","0","98.765891299376278","0","72","834","2151325696","1672101888","1224.3069583113311","0.19785180321773288"
"05/11/2015 00:03:47.176","0.69659717987314784","0.77399642550437708","0.077401230227271176","98.529870790096268","0","72","835","2151317504","1671376896","1552.3731605312466","0"
"05/11/2015 00:03:52.230","0.23148305235059238","0.61728682062110163","0.077160357959958487","99.151695067646784","0","72","834","2152026112","1670742016","841.66450761732779","0.19785249356307658"
"05/11/2015 00:03:57.269","0.619197921953341","0.46439943376300702","0","98.916869024344223","0","72","833","2151936000","1670164480","996.07907648414596","0"
"05/11/2015 00:04:02.308","0.92879690136287774","0.77399642550437708","0","98.297671068606533","0","72","832","2151936000","1671249920","929.99773043380753","0.19846302399355689"
"05/11/2015 00:04:07.347","0.69659716604850808","0.46439943376300702","0","98.839467795653064","0","72","830","2152607744","1671716864","1598.6268369482914","0"
"05/11/2015 00:04:12.354","0.62305585851674361","0.46729089540700547","0","98.910118538013592","0","72","832","2151211008","1673064448","1359.96466100728","0"
"05/11/2015 00:04:17.377","0.54348129028600201","1.086962580572004","0.07763961553817951","98.370023957594597","0","72","834","2152607744","1672830976","1410.2863483225669","0.19908051218556846"
"05/11/2015 00:04:22.432","0.61728682062110163","0.54012646266114328","0","98.843051657336233","0","72","833","2152374272","1673322496","973.42241272898855","0"
"05/11/2015 00:04:27.471","0.30959896712095925","1.0835953926253366","0","98.607270035727495","0","72","830","2152501248","1672634368","873.2430722236362","0.19846433459628096"
"05/11/2015 00:04:32.494","0.93168135873627234","0.93168135873627234","0","98.137103120220686","0","72","828","2153660416","1671020544","1042.3779663162522","0"
"05/11/2015 00:04:37.517","0.77640012144428228","0.85404172619617713","0.077639613992561612","98.370021999284162","0","72","828","2154090496","1672429568","1786.7261741601892","0"
"05/11/2015 00:04:42.556","0.38700019734823038","0.69659717987314784","0","98.916870987444497","0","72","828","2154377216","1670594560","1403.7442640956433","0.198465186497334"
"05/11/2015 00:04:47.595","0.69659716604850808","0.69659716604850808","0.077401228691169457","98.607268078771554","0","72","829","2155352064","1674153984","1370.9895410424881","0"
"05/11/2015 00:04:52.649","0.46296413539007769","0.54012647334738728","0.077160359486553601","98.997376310360963","0","72","828","2155728896","1673195520","987.86020109577532","0.19784902885955843"
"05/11/2015 00:04:57.704","0.38580574674122625","0.46296610470118477","0","99.151695067646784","0","72","823","2156503040","1670156288","765.87873355631518","0"
"05/11/2015 00:05:02.758","1.0030905888916111","0.6944471785810602","0","98.302927173145804","0","72","824","2156470272","1670742016","927.13928736695971","0"
"05/11/2015 00:05:07.797","0.46439745838341795","0.69659717987314784","0","98.83946975721723","0","72","823","2156707840","1669627904","1781.7796146168662","0.19846063874101871"
"05/11/2015 00:05:12.820","0.54348127946659752","0.77640211220361555","0","98.680582446013744","0","72","821","2157056000","1670516736","1390.296699209553","0"
"05/11/2015 00:05:17.874","0.54012647334738728","0.77160755180704821","0.077160359486553601","98.688730915473243","0","72","823","2154692608","1673359360","1017.2214806883525","0.1978645167649003"
"05/11/2015 00:05:22.929","0.84876987297169415","0.54012646266114328","0","98.611570583456356","0","72","824","2155143168","1672695808","879.45068632691221","0"
"05/11/2015 00:05:27.968","0.38699820507183746","0.77399641014367493","0","98.839467795653064","0","72","821","2153627648","1674403840","949.2515899989005","0.19846363997468125"
"05/11/2015 00:05:33.006","1.3931943597462957","3.0185904255783629","0.077399245631229352","95.588681594745168","0","76","832","2140667904","1681633280","8009.169036156728","0.19846290604016076"
"05/11/2015 00:05:38.045","0.77399839473967746","0.619197921953341","0","98.607268078771554","0","76","831","2142601216","1682096128","2657.4325265091056","0"
